iter	Passed	Remaining
0	1	184
1	3	151
2	4	151
3	5	142
4	7	133
5	8	127
6	9	122
7	10	120
8	11	119
9	12	116
10	14	115
11	15	116
12	17	114
13	18	112
14	19	111
15	20	109
16	22	108
17	23	106
18	24	105
19	25	103
20	26	101
21	28	100
22	29	98
23	30	97
24	32	96
25	33	96
26	35	95
27	36	94
28	37	92
29	38	90
30	40	89
31	42	89
32	43	87
33	44	86
34	45	84
35	46	83
36	48	82
37	49	81
38	51	80
39	52	78
40	53	76
41	53	74
42	55	73
43	56	71
44	57	70
45	58	68
46	60	67
47	61	66
48	62	65
49	64	64
50	66	63
51	67	62
52	68	61
53	70	59
54	71	58
55	72	56
56	73	55
57	74	54
58	76	52
59	77	51
60	79	50
61	80	49
62	81	47
63	82	46
64	84	45
65	85	44
66	86	42
67	87	41
68	89	40
69	90	38
70	92	37
71	93	36
72	94	35
73	96	33
74	97	32
75	98	31
76	99	29
77	100	28
78	102	27
79	103	25
80	104	24
81	106	23
82	107	22
83	109	20
84	111	19
85	113	18
86	114	17
87	116	15
88	117	14
89	119	13
90	120	11
91	121	10
92	123	9
93	124	7
94	126	6
95	127	5
96	128	3
97	130	2
98	131	1
99	133	0
