iter	Passed	Remaining
0	153	153138
1	156	78041
2	159	52918
3	162	40507
4	165	33008
5	168	27971
6	171	24347
7	174	21598
8	176	19453
9	179	17721
10	181	16309
11	183	15090
12	184	14040
13	186	13122
14	187	12321
15	188	11621
16	190	11026
17	192	10478
18	193	9991
19	194	9539
20	195	9133
21	197	8764
22	198	8424
23	199	8105
24	200	7811
25	201	7538
26	202	7294
27	203	7061
28	204	6852
29	205	6656
30	207	6472
31	208	6304
32	209	6139
33	210	5977
34	211	5830
35	212	5685
36	213	5548
37	214	5419
38	215	5299
39	215	5183
40	216	5074
41	217	4971
42	219	4876
43	220	4782
44	221	4692
45	222	4610
46	223	4530
47	224	4455
48	225	4384
49	226	4308
50	227	4236
51	228	4167
52	229	4100
53	230	4036
54	231	3975
55	232	3916
56	233	3859
57	234	3806
58	235	3756
59	236	3711
60	237	3662
61	238	3613
62	239	3568
63	240	3523
64	241	3480
65	242	3437
66	243	3395
67	244	3355
68	245	3318
69	246	3280
70	247	3244
71	249	3212
72	250	3178
73	251	3145
74	252	3119
75	253	3086
76	254	3054
77	255	3022
78	256	2992
79	257	2962
80	258	2933
81	259	2905
82	260	2872
83	260	2845
84	261	2819
85	262	2794
86	264	2771
87	265	2751
88	266	2730
89	267	2706
90	268	2682
91	269	2659
92	270	2637
93	271	2616
94	272	2594
95	273	2574
96	274	2553
97	275	2532
98	276	2513
99	277	2493
100	278	2476
101	279	2460
102	280	2443
103	281	2427
104	282	2409
105	283	2391
106	284	2374
107	285	2357
108	286	2341
109	287	2324
110	288	2307
111	289	2291
112	290	2276
113	291	2261
114	291	2246
115	293	2233
116	293	2218
117	294	2204
118	295	2190
119	297	2179
120	298	2165
121	298	2151
122	299	2137
123	300	2124
124	301	2111
125	302	2097
126	303	2084
127	304	2071
128	305	2059
129	305	2047
130	306	2035
131	307	2025
132	309	2015
133	310	2004
134	311	1994
135	312	1986
136	313	1975
137	314	1965
138	316	1957
139	317	1947
140	317	1937
141	318	1925
142	319	1915
143	320	1906
144	321	1896
145	322	1887
146	323	1878
147	324	1870
148	325	1861
149	326	1852
150	327	1843
151	328	1834
152	329	1825
153	330	1817
154	331	1808
155	332	1799
156	333	1791
157	334	1782
158	335	1774
159	336	1766
160	337	1757
161	338	1750
162	339	1743
163	340	1736
164	341	1730
165	342	1723
166	343	1715
167	344	1707
168	345	1700
169	346	1693
170	347	1686
171	348	1678
172	349	1671
173	350	1665
174	351	1658
175	352	1652
176	354	1646
177	355	1640
178	356	1635
179	357	1629
180	358	1623
181	359	1616
182	360	1609
183	361	1603
184	362	1596
185	363	1591
186	364	1585
187	365	1579
188	366	1573
189	367	1568
190	369	1563
191	370	1558
192	371	1554
193	372	1548
194	373	1541
195	374	1536
196	375	1530
197	376	1524
198	377	1519
199	378	1513
200	379	1507
201	380	1502
202	381	1497
203	382	1493
204	383	1488
205	384	1483
206	386	1479
207	387	1474
208	388	1469
209	389	1464
210	390	1458
211	391	1453
212	391	1448
213	392	1442
214	393	1437
215	394	1433
216	395	1428
217	396	1423
218	397	1419
219	399	1415
220	400	1412
221	401	1408
222	402	1403
223	403	1398
224	404	1393
225	405	1389
226	406	1384
227	407	1380
228	408	1376
229	409	1371
230	410	1366
231	411	1363
232	413	1359
233	414	1355
234	415	1353
235	417	1351
236	418	1347
237	419	1344
238	421	1341
239	422	1338
240	423	1335
241	425	1332
242	426	1328
243	427	1324
244	428	1320
245	429	1316
246	430	1313
247	432	1310
248	433	1308
249	434	1304
250	435	1300
251	436	1296
252	437	1291
253	438	1287
254	439	1284
255	440	1280
256	441	1277
257	443	1275
258	444	1272
259	445	1269
260	446	1265
261	447	1261
262	448	1257
263	449	1253
264	450	1250
265	451	1246
266	452	1242
267	453	1238
268	454	1235
269	455	1231
270	456	1228
271	457	1224
272	458	1222
273	459	1218
274	461	1215
275	461	1211
276	462	1208
277	463	1204
278	464	1200
279	465	1197
280	466	1193
281	467	1190
282	468	1186
283	469	1183
284	470	1179
285	471	1176
286	472	1173
287	473	1170
288	474	1167
289	475	1164
290	476	1161
291	477	1158
292	478	1154
293	479	1151
294	480	1148
295	481	1145
296	482	1141
297	483	1138
298	484	1135
299	485	1132
300	486	1129
301	487	1127
302	488	1124
303	490	1122
304	491	1119
305	492	1116
306	493	1113
307	494	1110
308	495	1106
309	495	1103
310	496	1100
311	497	1097
312	498	1094
313	499	1091
314	500	1088
315	501	1086
316	502	1083
317	503	1080
318	504	1077
319	505	1075
320	506	1072
321	508	1069
322	509	1067
323	510	1064
324	511	1061
325	512	1058
326	512	1055
327	513	1052
328	514	1050
329	515	1047
330	516	1044
331	517	1042
332	519	1039
333	520	1037
334	521	1034
335	522	1031
336	522	1028
337	523	1025
338	524	1023
339	525	1020
340	526	1017
341	527	1015
342	528	1012
343	529	1010
344	530	1007
345	531	1005
346	533	1003
347	534	1000
348	535	998
349	536	995
350	537	993
351	538	990
352	539	987
353	539	985
354	540	982
355	541	979
356	542	977
357	543	974
358	544	972
359	545	969
360	546	967
361	548	965
362	549	963
363	550	961
364	551	958
365	552	956
366	552	953
367	553	951
368	555	949
369	555	946
370	556	944
371	557	941
372	558	939
373	559	936
374	560	934
375	561	932
376	562	930
377	563	928
378	564	925
379	566	923
380	567	921
381	568	919
382	569	916
383	569	914
384	570	911
385	571	909
386	572	906
387	573	904
388	574	902
389	575	899
390	576	897
391	577	895
392	578	894
393	580	892
394	581	889
395	581	887
396	582	885
397	583	883
398	584	880
399	585	878
400	586	876
401	587	873
402	588	871
403	589	869
404	590	867
405	591	865
406	592	863
407	593	861
408	594	859
409	596	858
410	597	856
411	598	853
412	599	851
413	600	849
414	601	847
415	601	845
416	602	842
417	603	840
418	604	838
419	605	836
420	606	834
421	607	832
422	609	830
423	610	829
424	611	827
425	612	825
426	613	823
427	614	821
428	615	819
429	616	817
430	617	815
431	618	813
432	619	810
433	620	808
434	621	806
435	622	805
436	623	803
437	624	801
438	625	799
439	626	797
440	627	795
441	628	793
442	629	791
443	630	789
444	631	787
445	632	785
446	633	783
447	634	781
448	635	779
449	636	777
450	637	775
451	638	774
452	639	772
453	640	770
454	641	768
455	642	766
456	643	764
457	644	762
458	645	760
459	645	758
460	646	756
461	647	754
462	648	752
463	649	750
464	650	748
465	651	746
466	652	745
467	653	743
468	655	741
469	656	740
470	657	738
471	658	736
472	658	734
473	659	732
474	660	730
475	661	728
476	662	726
477	663	724
